sidebarPath,expectedComponent,actualComponent,redirectTo,lazyImport,status
/admin,AdminDashboardPage,AdminDashboardPage,,./refine/pages/AdminDashboardPage,ok
/admin/production,AdminProductionPage,AdminProductionPage,,./refine/pages/AdminProductionPage,ok
/admin/users,AdminUsersPage,AdminUsersPage,,./refine/pages/AdminUsersPage,ok
/admin/messages,AdminMessagesPage,AdminMessagesPage,,./refine/pages/AdminMessagesPage,ok
/admin/finance,AdminFinancePage,AdminFinancePage,,./refine/pages/AdminFinancePage,ok
/admin/credits,AdminCreditsPage,AdminCreditsPage,,./refine/pages/AdminCreditsPage,ok
/admin/subscriptions,AdminSubscriptionsPage,AdminSubscriptionsPage,,./refine/pages/ops/AdminSubscriptionsPage,ok
/admin/refunds,AdminRefundsPage,AdminRefundsPage,,./refine/pages/ops/AdminRefundsPage,ok
/admin/coupons,AdminCouponsPage,AdminCouponsPage,,./refine/pages/ops/AdminCouponsPage,ok
/admin/referrals,AdminReferralsPage,AdminReferralsPage,,./refine/pages/ops/AdminReferralsPage,ok
/admin/invoices,AdminInvoicesPage,AdminInvoicesPage,,./refine/pages/ops/AdminInvoicesPage,ok
/admin/reconcile,AdminReconcilePage,AdminReconcilePage,,./refine/pages/ops/AdminReconcilePage,ok
/admin/projects,AdminProjectsPage,AdminProjectsPage,,./refine/pages/AdminProjectsPage,ok
/admin/moderation,AdminModerationPage,AdminModerationPage,,./refine/pages/AdminModerationPage,ok
/admin/avatar-catalog,AdminAvatarCatalogPage,AdminAvatarCatalogPage,,./refine/pages/ops/AdminAvatarCatalogPage,ok
/admin/gallery,AdminGalleryCurationPage,AdminGalleryCurationPage,,./refine/pages/ops/AdminGalleryCurationPage,ok
/admin/template-library,AdminTemplatesAdminPage,AdminTemplatesAdminPage,,./refine/pages/ops/AdminTemplatesAdminPage,ok
/admin/storage,AdminStoragePage,AdminStoragePage,,./refine/pages/ops/AdminStoragePage,ok
/admin/content-safety,AdminContentSafetyPage,AdminContentSafetyPage,,./refine/pages/ops/AdminContentSafetyPage,ok
/admin/audit,AdminAuditLogPage,AdminAuditLogPage,,./refine/pages/ops/AdminAuditLogPage,ok
/admin/edge-logs,AdminEdgeLogsPage,AdminEdgeLogsPage,,./refine/pages/ops/AdminEdgeLogsPage,ok
/admin/providers,AdminProvidersPage,AdminProvidersPage,,./refine/pages/ops/AdminProvidersPage,ok
/admin/queue,AdminQueuePage,AdminQueuePage,,./refine/pages/ops/AdminQueuePage,ok
/admin/status,AdminStatusPage,AdminStatusPage,,./refine/pages/ops/AdminStatusPage,ok
/admin/backups,AdminBackupsPage,AdminBackupsPage,,./refine/pages/ops/AdminBackupsPage,ok
/admin/roles,AdminRolesPage,AdminRolesPage,,./refine/pages/ops/AdminRolesPage,ok
/admin/team,AdminTeamPage,AdminTeamPage,,./refine/pages/ops/AdminTeamPage,ok
/admin/sessions,AdminSessionsPage,AdminSessionsPage,,./refine/pages/ops/AdminSessionsPage,ok
/admin/gdpr,AdminGdprPage,AdminGdprPage,,./refine/pages/ops/AdminGdprPage,ok
/admin/abuse,AdminAbusePage,AdminAbusePage,,./refine/pages/ops/AdminAbusePage,ok
/admin/analytics,AdminAnalyticsPage,AdminAnalyticsPage,,./refine/pages/ops/AdminAnalyticsPage,ok
/admin/onboarding-analytics,AdminOnboardingAnalyticsPage,AdminOnboardingAnalyticsPage,,./refine/pages/ops/AdminOnboardingAnalyticsPage,ok
/admin/experiments,AdminExperimentsPage,AdminExperimentsPage,,./refine/pages/ops/AdminExperimentsPage,ok
/admin/cohorts,AdminCohortsPage,AdminCohortsPage,,./refine/pages/ops/AdminCohortsPage,ok
/admin/feature-flags,AdminFeatureFlagsPage,AdminFeatureFlagsPage,,./refine/pages/ops/AdminFeatureFlagsPage,ok
/admin/announcements,AdminAnnouncementsPage,AdminAnnouncementsPage,,./refine/pages/ops/AdminAnnouncementsPage,ok
/admin/email-templates,AdminEmailTemplatesPage,AdminEmailTemplatesPage,,./refine/pages/ops/AdminEmailTemplatesPage,ok
/admin/notifications-center,AdminNotificationsPage,AdminNotificationsPage,,./refine/pages/ops/AdminNotificationsPage,ok
/admin/macros,AdminMacrosPage,AdminMacrosPage,,./refine/pages/ops/AdminMacrosPage,ok
/admin/changelog,AdminChangelogPage,AdminChangelogPage,,./refine/pages/ops/AdminChangelogPage,ok
/admin/emails,AdminEmailsPage,AdminEmailsPage,,./refine/pages/AdminEmailsPage,ok
/admin/config,AdminConfigPage,AdminConfigPage,,./refine/pages/AdminConfigPage,ok
/admin/api-keys,AdminApiKeysPage,AdminApiKeysPage,,./refine/pages/ops/AdminApiKeysPage,ok
/admin/webhooks,AdminWebhooksPage,AdminWebhooksPage,,./refine/pages/ops/AdminWebhooksPage,ok
/admin/secrets,AdminSecretsPage,AdminSecretsPage,,./refine/pages/ops/AdminSecretsPage,ok
/admin/db-health,AdminDbHealthPage,AdminDbHealthPage,,./refine/pages/ops/AdminDbHealthPage,ok
/admin/crash-forensics,AdminCrashForensicsPage,AdminCrashForensicsPage,,./refine/pages/ops/AdminCrashForensicsPage,ok
